genres,keywords,title,cast,director
Comedy Horror Thriller Mystery Fantasy,john f. kennedy elvis presley,Bubba Ho-tep,Bruce Campbell Ossie Davis Ella Joyce Heidi Marnhout Bob Ivy,Don Coscarelli
Drama,independent film,Slam,Saul Williams Sonja Sohn Bonz Malone Beau Sia,Marc Levin
Crime Drama Mystery Thriller,,Brigham City,Richard Dutcher Matthew A. Brown Wilford Brimley,Richard Dutcher
Drama Foreign Romance,suicide loss of brother laughing jihad love,Fiza,Hrithik Roshan Karisma Kapoor Jaya Bachchan Neha Bikram Saluja,Khalid Mohammed
Comedy,pornography sex secret fight star,Orgazmo,Trey Parker Dian Bachar Matt Stone Ron Jeremy Michael Dean Jacobs,Trey Parker
Drama Romance,southern usa small town virgin independent film best friend,All the Real Girls,Paul Schneider Zooey Deschanel Danny McBride Maurice Compte Heather McComb,David Gordon Green
Comedy,independent film,Dream with the Fishes,David Arquette Brad Hunt Kathryn Erbe Patrick McGaw Cathy Moriarty,
Drama,independent film woman director,Blue Car,Margaret Colin Agnes Bruckner David Strathairn Frances Fisher A.J. Buckley,Karen Moncrieff
Drama,high school soccer teenager older man younger woman relationship teenage sexuality,Palo Alto,Emma Roberts Jack Kilmer Nat Wolff James Franco Zoe Levin,Gia Coppola
Crime Drama,,Ajami,Fouad Habash Nisrine Rihan Elias Saba Youssef Sahwani Abu George Shibli,Scandar Copti
Comedy Drama Fantasy Romance,independent film break-up ex-boyfriend ex-girlfriend relationship rolling a cigarette autocide,Wristcutters: A Love Story,Patrick Fugit Shannyn Sossamon Shea Whigham Leslie Bibb Will Arnett,Goran Dukic
Science Fiction Drama,independent film eyes molecular biologist,I Origins,Michael Pitt Brit Marling Astrid Berg\u00e8s-Frisbey Steven Yeun Archie Panjabi,Mike Cahill
Comedy Drama Romance,fantasy enemy sister high school battlefield,The Battle of Shaker Heights,Shia LaBeouf Elden Henson Amy Smart Billy Kay Kathleen Quinlan,Kyle Rankin
Documentary,corruption war indonesia,The Act of Killing,Anwar Congo Herman Koto Syamsul Arifin Ibrahim Sinik Yapto Soerjosoemarno,Joshua Oppenheimer
Documentary,taxi afghanistan guantanamo bay torture chamber,Taxi to the Dark Side,Brian Keith Allen Moazzam Begg Christopher Beiring Alex Gibney,Alex Gibney
Documentary,new york beckenbauer pele,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Pel\u00e9 Franz Beckenbauer Carlos Alberto Raphael de la Sierra Phil Woosnam,Paul Crowder
Drama,guyana 19th century,Guiana 1838,Aasheekaa Bathija Thomas Garvey Kumar Gaurav Rufus Graham Asim Mujahid,Rohit Jagessar
,,Lisa Picard Is Famous,Laura Kirk Nat DeWolf Griffin Dunne Daniel London Sandra Bullock,Griffin Dunne
Drama Adventure Documentary,biography antarctica,Antarctica: A Year on Ice,Genevieve Bachman William Brotman Michael Christiansen Tom Hamann George Lampman,Anthony Powell
Documentary,pop culture fan culture documentary toys,A LEGO Brickumentary,Jason Bateman Matthias Klie,Kief Davidson
Drama Action,skateboarding forgiveness sport family relationships aftercreditsstinger,Hardflip,Randy Wayne John Schneider Rosanna Arquette Sean Michael Afable Jason Dundas,Johnny Remo
Thriller,,Chocolate: Deep Dark Secrets,Anil Kapoor Sunil Shetty Arshad Warsi Emraan Hashmi Irrfan Khan,Vivek Agnihotri
Mystery Horror,ritual cult independent film human sacrifice eclipse,The House of the Devil,Jocelin Donahue Mary Woronov Greta Gerwig AJ Bowen Heather Robb,Ti West
Comedy Thriller Crime,swimming pool tea kettle conga line spit in the face convenience store robbery,The Perfect Host,David Hyde Pierce Clayne Crawford Nathaniel Parker Helen Reddy,Nick Tomnay
Comedy Crime,robbery organized crime gangster safecracker rosh hashanah,Safe Men,Sam Rockwell Steve Zahn Paul Giamatti Mark Ruffalo Josh Pais,John Hamburg
Romance Drama Crime,racing car growing up scam male prostitute,Speedway Junky,Jesse Bradford Jordan Brower Jonathan Taylor Thomas Daryl Hannah Tiffani Thiessen,Nickolas Perry
Comedy Drama,magazine independent film counter-culture model arrogance,The Last Big Thing,Dan Zukovic Mark Ruffalo Sibel Ergener James Lorinz Yul Vazquez,Dan Zukovic
Action Comedy,superhero,The Specials,Jordan Ladd Rob Lowe Jamie Kennedy Thomas Haden Church James Gunn,Craig Mazin
Comedy Romance,affection woman director,16 to Life,Hallee Hirsh Theresa Russell Shiloh Fernandez Will Rothhaar,Becky Smith
Crime Drama Romance Thriller,obsession hidden camera stalker independent film invasion of privacy,Alone With Her,Colin Hanks Ana Claudia Talanc\u00f3n Jordana Spiro Jonathon Trent Alex Boling,Eric Nicholas
Drama Science Fiction,virtual reality black and white,Creative Control,Benjamin Dickinson Nora Zehetner Dan Gill Alexia Rasmussen Gavin McInnes,Benjamin Dickinson
Drama Fantasy Science Fiction,hallucination superhero independent film,Special,Michael Rapaport Josh Peck Robert Baker Jack Kehler Alexandra Holden,Hal Haberman
,,Sparkler,Park Overall Veronica Cartwright Freddie Prinze Jr. Don Harvey Jamie Kennedy,Darren Stein
Action Comedy Science Fiction,,The Helix... Loaded,,
Drama Action Thriller,rebel usa president hostage airplane,In Her Line of Fire,Mariel Hemingway David Keith David Millbern Jill Bennett Sydney Jackson,Brian Trenchard-Smith
Comedy Drama,stand-up comedy,The Jimmy Show,Frank Whaley Carla Gugino Ethan Hawke Lynn Cohen Jillian Stacom,Frank Whaley
Crime Drama,drug cartel extreme violence,Heli,Armando Espitia Andrea Vergara Linda Gonzalez Juan Eduardo Palacios Kenny Johnston,Amat Escalante
Family Comedy,,Karachi se Lahore,Shehzad Sheikh Ayesha Omar Yasir Hussain Javed Sheikh,
Drama Romance,bisexuality australia twin brother friends melbourne,Loving Annabelle,Erin Kelly Diane Gaidry Laura Breckenridge Michelle Horn Gustine Fudickar,Katherine Brooks
Drama Comedy,talent delusion fame teenager viral video,Hits,Meredith Hagner Matt Walsh James Adomian Jake Cherry Derek Waters,David Cross
Action Crime Drama Thriller,police revenge independent film video camera on the run,Jimmy and Judy,Edward Furlong Rachael Bella William Sadler,Randall Rubin
Comedy Romance,sport,Frat Party,Randy Wayne Caroline D'Amore Jareb Dauplaise Lauren C. Mayhew Dan Levy,Robert Bennett
Drama,london england beatnik,The Party's Over,Oliver Reed Clifford David Ann Lynn Louise Sorel Mike Pratt,Guy Hamilton
Drama,woman director,Proud,Vernel Bagneris Marcus Chait Michael Ciesla,Mary Pat Kelly
Drama,rape drug abuse independent film,The Poker House,Jennifer Lawrence Selma Blair Bokeem Woodbine Chlo\u00eb Grace Moretz Sophia Bairley,Lori Petty
,,Childless,Barbara Hershey Joe Mantegna Diane Venora James Naughton Natalie Dreyfuss,Charlie Levi
Horror,racist religion,ZMD: Zombies of Mass Destruction,Janette Armand Doug Fahl Cooper Hopkins Bill Johns Russell Hodgkinson,Kevin Hamedani
Horror Thriller,,Snow White: A Deadly Summer,Shanley Caswell Maureen McCormick Eric Roberts Tim Abell R.J. Cantu,David DeCoteau
Romance Drama,,Hidden Away,Germ\u00e1n Alcarazu Adil Koukouh Ana Wagener Alex Angulo,Mikel Rueda
Comedy Drama Romance,,My Last Day Without You,Ken Duken Nicole Beharie Reg E. Cathey Marlene Forte Laith Nakli,Stefan C. Schaefer
Comedy Romance,,Steppin: The Movie,Wesley Jonathan Chrystee Pharris Anthony Anderson,Michael Taliferro
Western,,Doc Holliday's Revenge,Tom Berenger Ashley Hayes Eric Roberts Bart Voitila Oliver Rayon,David DeCoteau
Thriller Horror,friends remote island woman director,Black Rock,Kate Bosworth Lake Bell Jay Paulson Katie Aselton Will Bouvier,Katie Aselton
Horror Thriller Mystery,,Truth or Dare,Liam Boyle Jack Gordon Florence Hall David Oakes Jennie Jacques,Robert Heath
Drama Thriller,independent film,The Pet,Pierre Dulat Andrea Edmondson Summer Nguyen Lydia McLane Steven Wollenberg,D. Stevens
Science Fiction Drama Music,small town rock star musical idol teenager,Bang Bang Baby,Jane Levy Peter Stormare Justin Chatwin David Reale Kristian Bruun,Jeffrey St. Jules
Horror,phobia doctor fear,Fear Clinic,Thomas Dekker Robert Englund Cleopatra Coleman Fiona Dourif Kevin Gage,Robert Hall
Comedy Action Science Fiction Thriller,mutant post-apocalyptic zombie,Zombie Hunter,Martin Copping Danny Trejo Clare Niederpruem Terry Guthrie Jason Regier,Kevin King
Drama,,A Fine Step,Luke Perry Anna Claire Sneed Leonor Varela,Jonathan Meyers
Drama Romance Science Fiction,experiment mouse intelligence test genius,Charly,Cliff Robertson Claire Bloom Lilia Skala Leon Janney Ruth White,Ralph Nelson
Horror Thriller,lsd government conspiracy tension video camera,Banshee Chapter,Ted Levine Katia Winter Michael McMillian Monique Candelaria Jenny Gabrielle,Blair Erickson
Drama Mystery Thriller,college blog dark secrets,Ask Me Anything,Britt Robertson Christian Slater Justin Long Martin Sheen Andy Buckley,Allison Burnett
Comedy Romance,,And Then Came Love,Kevin Daniels Michael Boatman Jeremy Gumbs Eartha Kitt Vanessa Williams,Richard Schenkman
Documentary,,Food Chains,,Sanjay Rawal
Crime Drama,murder suspense union dock longshoreman,On the Waterfront,Marlon Brando Karl Malden Lee J. Cobb Rod Steiger Pat Henning,Elia Kazan
Comedy,baby roommate friendship single los angeles,L!fe Happens,Krysten Ritter Kate Bosworth Rachel Bilson Geoff Stults Justin Kirk,Kat Coiro
Drama,rape hotel room totalitarian regime cohabitant female friendship,"4 Months, 3 Weeks and 2 Days",Anamaria Marinca Laura Vasiliu Vlad Ivanov Alexandru Potocean Lumini\u021ba Gheorghiu,Cristian Mungiu
Horror,anthology,The Horror Network Vol. 1,Nick Frangione Artem Mishin Jan Cornet Brian Dorton Javier Botet,Joseph Graham
Drama Thriller,suicide rape age difference photographer ice,Hard Candy,Patrick Wilson Ellen Page Sandra Oh Odessa Rae G.J. Echternkamp,David Slade
Drama Thriller,depression christmas party deaf-mute daughter high school sports,The Quiet,Elisha Cuthbert Camilla Belle Edie Falco Martin Donovan Shawn Ashmore,Jamie Babbit
Drama,sexual identity lesbian relationship homosexuality woman director,Circumstance,Nikohl Boosheri Sarah Kazemy Reza Sixo Safai Soheil Parsa Nasrin Pakkho,Maryam Keshavarz
Drama,police brutality based on true story racism docudrama day in a life,Fruitvale Station,Michael B. Jordan Octavia Spencer Melonie Diaz Ahna O'Reilly Kevin Durand,Ryan Coogler
Comedy Fantasy Thriller,fantasy based on comic book money magical object woman director,The Brass Teapot,Juno Temple Michael Angarano Alexis Bledel Billy Magnussen Alia Shawkat,Ramaa Mosley
Animation Drama Family,forest coming of age best friend loss of loved one,Bambi,Donnie Dunagan Peter Behn Stan Alexander Cammie King Will Wright,David Hand
Comedy,transporter sport independent film,The Hammer,Adam Carolla Oswaldo Castillo Harold House Moore Christopher Darga Jonathan Hernandez,Charles Herman-Wurmfeld
Drama Comedy Romance,gay coming out religion mormon,Latter Days,Steve Sandvoss Wes Ramsey Jacqueline Bisset Joseph Gordon-Levitt Rebekah Johnson,C. Jay Cox
Drama,france caribbean islands caribbean woman director,Elza,Stana Roumillac Vincent Byrd Le Sage Christophe Cherki,Mariette Monpierre
Drama,drug addiction father daughter relationship semi autobiographical,1982,Bokeem Woodbine Sharon Leal Wayne Brady Quinton Aaron Hill Harper,Tommy Oliver
Comedy,crude humor best friend phone sex innuendo dirty joke,"For a Good Time, Call...",Ari Graynor Lauren Miller Mark Webber Justin Long Mimi Rogers,Jamie Travis
Comedy Drama Romance,relationship problems male female relationship divorce best friends in love,Celeste & Jesse Forever,Rashida Jones Andy Samberg Elijah Wood Emma Roberts Ari Graynor,Lee Toland Krieger
Comedy Drama Family Science Fiction,time travel time machine christian film,Time Changer,D. David Morin Gavin MacLeod Hal Linden Jennifer O'Neill Paul Rodr\u00edguez,Rich Christiano
Crime Drama Thriller,suspense,London to Brighton,Georgia Groome Johnny Harris Sam Spruell Lorraine Stanley Alexander Morton,Paul Andrew Williams
Action Comedy Science Fiction,,American Hero,Stephen Dorff Eddie Griffin Bill Billions Jonathan Billions,Nick Love
Thriller Mystery,woman director,Windsor Drive,Samaire Armstrong Anna Gurji Matt Cohen Kyan DuBois,Natalie Bible'
Drama,emigration class money maid divorce,A Separation,Leila Hatami Kimia Hosseini Merila Zarei \u067e\u06cc\u0645\u0627\u0646 \u0645\u0639\u0627\u062f\u06cc Sareh Bayat,Asghar Farhadi
Comedy Drama Thriller,kidnapping stand-up comedy dark comedy night club landlord,Crying with Laughter,Stephen McCole Malcolm Shields Andrew Neil Jo Hartley,Justin Molotnikov
Comedy Drama,parents kids relationship sister sister relationship mockery ugliness independent film,Welcome to the Dollhouse,Heather Matarazzo Victoria Davis Christina Brucato Christina Vidal Siri Howard,Todd Solondz
Drama Romance,independent film,Ruby in Paradise,Ashley Judd Todd Field Bentley Mitchum Dorothy Lyman Allison Dean,Victor Nunez
Drama Romance,independent film,Raising Victor Vargas,Victor Rasuk Judy Marte Melonie Diaz Altagracia Guzman Silvestre Rasuk,Peter Sollett
Drama Thriller Romance,london england casino irony forbidden love loss of husband,Pandora's Box,Louise Brooks Fritz Kortner Francis Lederer Carl Goetz Krafft-Raschig,G.W. Pabst
,,Harrison Montgomery,,
Drama Foreign,,Live-In Maid,Norma Aleandro Norma Argentina  Marcos Mundstock Claudia Lapac\u00f3 Elsa Berenguer,Jorge Gaggero
Action Drama Mystery Thriller,diner judgment call,Deterrence,Kevin Pollak Timothy Hutton Sheryl Lee Ralph Clotilde Courau Sean Astin,Rod Lurie
Drama,chicken bullying rape of a male misfit homosexuality,The Mudge Boy,Emile Hirsch Tom Guiry Richard Jenkins Pablo Schreiber Zachary Knighton,Michael Burke
Drama,woman director,The Young Unknowns,Devon Gummersall Arly Jover Eion Bailey Leslie Bibb Dale Godboldo,Catherine Jelski
Comedy,sex thanksgiving friendship high school love,Not Cool,Shane Dawson Cherami Leigh Drew Monson Michelle Veintimilla Lisa Schwartz,Shane Dawson
Horror Comedy,norway undead zombie wintry,Dead Snow,Charlotte Frogner Stig Frode Henriksen Vegar Hoel Jeppe Beck Laursen Evy Kasseth R\u00f8sten,Tommy Wirkola
Action Adventure Drama History War,winter belgium world war ii nazis bravery,Saints and Soldiers,Larry Bagby Alexander Polinsky Kirby Heyborne Corbin Allred Ethan Vincent,Ryan Little
Horror Science Fiction,,Vessel,Brandon Bales Brandy Maasch Julie Mintz Walter Phelan Taylor Pigeon,Clark Baker
Comedy Drama,farewell rock and roll robbery love at first sight car race,American Graffiti,Richard Dreyfuss Ron Howard Paul Le Mat Charles Martin Smith Cindy Williams,George Lucas
Documentary,,Iraq for Sale: The War Profiteers,Shereef Akeel,Robert Greenwald
Animation Comedy,africa blood splatter surrealism blood robot,Aqua Teen Hunger Force Colon Movie Film for Theaters,Dana Snyder Carey Means Dave Willis Andy Merrill Bruce Campbell,Dave Willis
Comedy Romance Science Fiction Drama,time travel,Safety Not Guaranteed,Aubrey Plaza Mark Duplass Jake Johnson Karan Soni Jenica Bergere,Colin Trevorrow
Comedy Documentary,stand-up comedy,Kevin Hart: Laugh at My Pain,Kevin Hart Na'im Lynn,Tim Story
Horror Thriller Crime,hotel wife husband relationship hitman infection forest,Kill List,Neil Maskell MyAnna Buring Harry Simpson Michael Smiley Struan Rodger,Ben Wheatley
Horror Thriller,anti terror terror beer supernatural towel,The Innkeepers,Sara Paxton Pat Healy Kelly McGillis George Riddle Lena Dunham,Ti West
Drama,paris italy assassin fascism benito mussolini,The Conformist,Jean-Louis Trintignant Stefania Sandrelli Gastone Moschin Dominique Sanda Enzo Tarascio,Bernardo Bertolucci
Drama Thriller,assassination paranoia suspense conspiracy,Interview with the Assassin,Dylan Haggerty Renee Faia Dennis Lau Raymond J. Barry Kelsey Kemper,Neil Burger
Horror Drama Thriller Crime,,Donkey Punch,Nichola Burley Sian Breckin Jaime Winstone Robert Boulter Tom Burke,Olly Blackburn
Horror Mystery Thriller,suicide attempt gun texas mass murder farm worker,All the Boys Love Mandy Lane,Amber Heard Anson Mount Michael Welch Whitney Able Edwin Hodge,Jonathan Levine
Horror,vampire daywalker,Bled,Sarah Farooqui Chris Ivan Cevic Alex Petrovitch Michele Morrow Ivan L. Moody,Christopher Hutson
Western,gunslinger showdown fistfight morality u.s. marshal,High Noon,Gary Cooper Grace Kelly Thomas Mitchell Lloyd Bridges Katy Jurado,Fred Zinnemann
Documentary,chicago sports team ghetto narration college,Hoop Dreams,William Gates Arthur Agee Steve James,Steve James
Documentary,street gang hip-hop dance fight breakdance,Rize,Christopher Toler Tommy the Clown Miss Prissy Dragon Ceasare Willis,David LaChapelle
Drama,independent film,L.I.E.,Paul Dano Bruce Altman Brian Cox Billy Kay James Costa,Michael Cuesta
Mystery Drama Thriller,witch woman director,The Sisterhood of Night,Kara Hayward Georgie Henley Olivia DeJonge Laura Fraser Kal Penn,Caryn Waechter
Crime Drama Music,dancing hip-hop b-girl street dance b-boying,B-Girl,Julie 'Jules' Urich Missy Yager Wesley Jonathan Drew Sidora Aimee Garcia,Emily Dell
Drama,date ex-girlfriend bicycle crack independent film,Half Nelson,Ryan Gosling Jeff Lima Shareeka Epps Nathan Corbett Tyra Kwao-Vovo,Ryan Fleck
Drama,native american racism family woman director,Naturally Native,Valerie Red-Horse Yvonne Russo Irene Bedard Kimberly Guerrero Pato Hoffmann,Valerie Red-Horse
Action Comedy Romance Science Fiction Thriller,,Hav Plenty,Christopher Scott Cherot Chenoa Maxwell Tammi Katherine Jones Robinne Lee Reginald James,Christopher Scott Cherot
Thriller Crime Drama,,Adulterers,Sean Faris Danielle Savre Mehcad Brooks Stephanie Charles Steffinnie Phrommany,H.M. Coakley
Horror Fantasy,,Escape from Tomorrow,Roy Abramsohn Elena Schuber Katelynn Rodriguez Danielle Safady Alison Lees-Taylor,Randy Moore
Documentary Foreign,,Starsuckers,Ellis Cashmore Max Clifford Richard Curtis Josef d'Bache-Kane Nick Davies,Chris Atkins
